timestamp,__name__,endpoint,instance,job,namespace,pod,service,value
2021-02-28 17:26:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:27:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:27:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:28:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:28:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:29:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:29:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:30:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:30:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:31:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:31:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:32:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:32:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:33:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:33:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:34:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:34:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:35:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:35:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:36:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:36:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:37:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:37:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:38:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:38:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:39:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:39:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:40:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:40:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:41:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:41:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:42:00.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
2021-02-28 17:42:30.071000064+00:00,jupyterhub_total_users,8080-tcp,10.130.2.153:8080,jupyterhub,opf-jupyterhub,jupyterhub-13-9k7dt,jupyterhub,49
